!
!Date: 10/18/2016
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Type	Assay	Annotation	Action	Modification	Phenotype	Source	Reference	Note
BNI1	YNL271C	BTT1	YDR252W	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	BUB3	YOR026W	Genetic	Synthetic Lethality	high-throughput	Hit		inviable Mutant Type: unspecified	BioGRID	Daniel JA, et al. (2006) PMID:16157669	
BNI1	YNL271C	BUD14	YAR014C	Genetic	Synthetic Lethality	manually curated	Hit		inviable Mutant Type: unspecified	BioGRID	Chesarone-Cataldo M, et al. (2011) PMID:21839918	deletion of bni1 is lethal under high heat conditions in a smy1/bud14 double mutant|genetic complex
BNI1	YNL271C	BUD14	YAR014C	Genetic	Synthetic Rescue	manually curated	Bait		vegetative growth: normal Mutant Type: unspecified	BioGRID	Chesarone M, et al. (2009) PMID:19217430	deletion of BUD14 rescues the growth defect of BNI1 mutants
BNI1	YNL271C	BUD14	YAR014C	Genetic	Phenotypic Enhancement	manually curated	Bait			BioGRID	Gould CJ, et al. (2014) PMID:24828508	double mutants resulted in a striking increase in the cytokinesis defective chained phenotype compared to bni1 single mutants
BNI1	YNL271C	BUD4	YJR092W	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	BUD6	YLR319C	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Dixon SJ, et al. (2008) PMID:18931302	EMAP
BNI1	YNL271C	BUD6	YLR319C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	BUD6	YLR319C	Genetic	Phenotypic Enhancement	manually curated	Bait			BioGRID	Segal M, et al. (2000) PMID:11071900	
BNI1	YNL271C	BUD6	YLR319C	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	BUD6	YLR319C	Genetic	Synthetic Growth Defect	manually curated	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Graziano BR, et al. (2013) PMID:23671312	Figure 1A
BNI1	YNL271C	BUD6	YLR319C	Genetic	Phenotypic Enhancement	manually curated	Bait			BioGRID	Graziano BR, et al. (2013) PMID:23671312	Figure 1C|bni1 bud6 double mutant shows increased number of cells with actin cable assembly defects
BNI1	YNL271C	BUD6	YLR319C	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	BUD6	YLR319C	Genetic	Phenotypic Enhancement	manually curated	Hit			BioGRID	Cepeda-Garcia C, et al. (2010) PMID:20534809	In bud6/bni1 mutants KAR9 association with the spindle pole is interrupted
BNI1	YNL271C	BUD6	YLR319C	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	BUD6	YLR319C	Physical	Two-hybrid	manually curated	Bait	No Modification		BioGRID	Evangelista M, et al. (1997) PMID:9082982	
BNI1	YNL271C	BUD6	YLR319C	Physical	Reconstituted Complex	manually curated	Bait	No Modification		BioGRID	Graziano BR, et al. (2011) PMID:21880892	
BNI1	YNL271C	BUD6	YLR319C	Physical	Reconstituted Complex	manually curated	Hit	No Modification		BioGRID	Graziano BR, et al. (2013) PMID:23671312	Figure 2
BNI1	YNL271C	BUD6	YLR319C	Physical	Reconstituted Complex	manually curated	Bait	No Modification		BioGRID	Tu D, et al. (2012) PMID:23161908	
BNI1	YNL271C	BUD6	YLR319C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	BUD7	YOR299W	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	BZZ1	YHR114W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CAJ1	YER048C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CAP1	YKL007W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	genetic complex|triple mutants show synthetic lethality compared to a BNI1/KRE1 double mutant
BNI1	YNL271C	CAP1	YKL007W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CAP2	YIL034C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	genetic complex|triple mutants show synthetic lethality compared to a BNI1/KRE1 double mutant
BNI1	YNL271C	CAP2	YIL034C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CCP1	YKR066C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CCT2	YIL142W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CDC10	YCR002C	Genetic	Phenotypic Enhancement	manually curated	Bait			BioGRID	Pruyne D, et al. (2004) PMID:15371545	
BNI1	YNL271C	CDC10	YCR002C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CDC123	YLR215C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CDC14	YFR028C	Physical	Reconstituted Complex	high-throughput	Hit	No Modification		BioGRID	Bloom J, et al. (2011) PMID:21127052	
BNI1	YNL271C	CDC14	YFR028C	Physical	Affinity Capture-MS	high-throughput	Hit	No Modification		BioGRID	Bloom J, et al. (2011) PMID:21127052	
BNI1	YNL271C	CDC15	YAR019C	Genetic	Phenotypic Enhancement	manually curated	Bait			BioGRID	Kadota J, et al. (2004) PMID:15371547	
BNI1	YNL271C	CDC19	YAL038W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Davierwala AP, et al. (2005) PMID:16155567	SGA screen
BNI1	YNL271C	CDC28	YBR160W	Genetic	Phenotypic Suppression	manually curated	Hit			BioGRID	Yu L, et al. (2008) PMID:18256288	
BNI1	YNL271C	CDC28	YBR160W	Physical	Biochemical Activity	high-throughput	Hit	Phosphorylation		BioGRID	Ubersax JA, et al. (2003) PMID:14574415	A yeast proteomic library was screened for proteins that are directly phosphorylated by Cdk1 Clb2 complexes  in whole-cell extracts.|Complex with cyclin Clb2
BNI1	YNL271C	CDC3	YLR314C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CDC34	YDR054C	Genetic	Synthetic Rescue	manually curated	Hit		vegetative growth: normal Mutant Type: unspecified	BioGRID	Sheu YJ, et al. (2000) PMID:10866679	
BNI1	YNL271C	CDC42	YLR229C	Genetic	Synthetic Lethality	high-throughput	Hit		inviable Mutant Type: unspecified	BioGRID	Kozminski KG, et al. (2003) PMID:12960420	
BNI1	YNL271C	CDC42	YLR229C	Genetic	Synthetic Lethality	high-throughput	Hit		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	CDC42	YLR229C	Physical	Two-hybrid	manually curated	Bait	No Modification		BioGRID	Evangelista M, et al. (1997) PMID:9082982	
BNI1	YNL271C	CDC42	YLR229C	Physical	Two-hybrid	manually curated	Hit	No Modification		BioGRID	Richman TJ and Johnson DI (2000) PMID:11046150	
BNI1	YNL271C	CDC42	YLR229C	Physical	Two-hybrid	manually curated	Hit	No Modification		BioGRID	Richman TJ, et al. (2004) PMID:15108020	
BNI1	YNL271C	CDC42	YLR229C	Physical	Two-hybrid	manually curated	Hit	No Modification		BioGRID	Mosch HU, et al. (2001) PMID:11113198	
BNI1	YNL271C	CDC42	YLR229C	Physical	Two-hybrid	manually curated	Hit	No Modification		BioGRID	Richman TJ, et al. (1999) PMID:10358031	
BNI1	YNL271C	CDC48	YDL126C	Physical	Affinity Capture-MS	high-throughput	Hit	No Modification		BioGRID	Gavin AC, et al. (2002) PMID:11805826	
BNI1	YNL271C	CDC48	YDL126C	Physical	Affinity Capture-MS	high-throughput	Hit	No Modification		BioGRID	Gavin AC, et al. (2006) PMID:16429126	
BNI1	YNL271C	CFD1	YIL003W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Davierwala AP, et al. (2005) PMID:16155567	SGA screen
BNI1	YNL271C	CHL4	YDR254W	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	CHS3	YBR023C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	CHS3	YBR023C	Genetic	Synthetic Lethality	high-throughput	Hit		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	CHS3	YBR023C	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	CHS3	YBR023C	Genetic	Synthetic Growth Defect	high-throughput	Hit		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	CHS3	YBR023C	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	CHS5	YLR330W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	CHS5	YLR330W	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	CHS5	YLR330W	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	CHS6	YJL099W	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	CHS6	YJL099W	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	genetic complex|triple mutants show a synthetic growth defect compared to a BNI1/KRE1 double mutant
BNI1	YNL271C	CHS7	YHR142W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	CHS7	YHR142W	Genetic	Synthetic Lethality	high-throughput	Hit		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	CHS7	YHR142W	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	CHS7	YHR142W	Genetic	Synthetic Growth Defect	high-throughput	Hit		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Lesage G, et al. (2005) PMID:15715908	SGA
BNI1	YNL271C	CHS7	YHR142W	Genetic	Synthetic Growth Defect	high-throughput	Hit		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	CHS7	YHR142W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	BNI1/BIM1/IKI3 and BNI/BIM1/CHS7 triple mutants show synthetic lethality not seen in a BNI1/BIM1 double mutant|genetic complex
BNI1	YNL271C	CHS7	YHR142W	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	CIN2	YPL241C	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	CIN8	YEL061C	Genetic	Synthetic Lethality	manually curated	Bait		inviable Mutant Type: unspecified	BioGRID	Lee L, et al. (1999) PMID:10085293	
BNI1	YNL271C	CLA4	YNL298W	Genetic	Synthetic Lethality	manually curated	Hit		inviable Mutant Type: unspecified	BioGRID	Goehring AS, et al. (2003) PMID:12686605	
BNI1	YNL271C	CLA4	YNL298W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	CLA4	YNL298W	Genetic	Synthetic Lethality	manually curated	Bait		inviable Mutant Type: unspecified	BioGRID	Kadota J, et al. (2004) PMID:15371547	
BNI1	YNL271C	CLA4	YNL298W	Genetic	Phenotypic Enhancement	manually curated	Bait			BioGRID	Kadota J, et al. (2004) PMID:15371547	
BNI1	YNL271C	CLA4	YNL298W	Genetic	Phenotypic Enhancement	manually curated	Hit			BioGRID	Kadota J, et al. (2004) PMID:15371547	bnr1 bni1 double mutant
BNI1	YNL271C	CLA4	YNL298W	Genetic	Synthetic Lethality	high-throughput	Hit		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	CLA4	YNL298W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	CLN1	YMR199W	Genetic	Dosage Lethality	manually curated	Hit		inviable Mutant Type: unspecified	BioGRID	Zou J, et al. (2009) PMID:19458192	
BNI1	YNL271C	CLN2	YPL256C	Genetic	Dosage Lethality	manually curated	Hit		inviable Mutant Type: unspecified	BioGRID	Zou J, et al. (2009) PMID:19458192	
BNI1	YNL271C	CMD1	YBR109C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CMR1	YDL156W	Physical	Affinity Capture-MS	high-throughput	Hit	No Modification		BioGRID	Gilmore JM, et al. (2012) PMID:22199229	hit proteins identified by MudPIT analysis
BNI1	YNL271C	COF1	YLL050C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	COG4	YPR105C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Davierwala AP, et al. (2005) PMID:16155567	SGA screen
BNI1	YNL271C	COG5	YNL051W	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	genetic complex|triple mutants show a synthetic growth defect compared to a BNI1/KRE1 double mutant
BNI1	YNL271C	COG7	YGL005C	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	genetic complex|triple mutants show a synthetic growth defect compared to a BNI1/KRE1 double mutant
BNI1	YNL271C	COG8	YML071C	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	genetic complex|triple mutants show a synthetic growth defect compared to a BNI1/KRE1 double mutant
BNI1	YNL271C	COP1	YDL145C	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Davierwala AP, et al. (2005) PMID:16155567	SGA screen
BNI1	YNL271C	COX13	YGL191W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CPS1	YJL172W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CRN1	YLR429W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CSI2	YOL007C	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	CTF19	YPL018W	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	CTF19	YPL018W	Physical	Two-hybrid	high-throughput	Hit	No Modification		BioGRID	Wang Y, et al. (2012) PMID:22875988	Interaction between cloned coiled-coil domains
BNI1	YNL271C	CTF3	YLR381W	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	CTF4	YPR135W	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	CUE1	YMR264W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CUE5	YOR042W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	CYK3	YDL117W	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Dixon SJ, et al. (2008) PMID:18931302	EMAP
BNI1	YNL271C	CYK3	YDL117W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	CYK3	YDL117W	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	CYK3	YDL117W	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	CYK3	YDL117W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	CYK3	YDL117W	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	CYS3	YAL012W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	DCC1	YCL016C	Genetic	Synthetic Growth Defect	manually curated	Hit		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	DCS2	YOR173W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	DIN7	YDR263C	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	DIP5	YPL265W	Genetic	Phenotypic Enhancement	high-throughput	Bait			BioGRID	Vizeacoumar FJ, et al. (2010) PMID:20065090	High Throughput: A synthetic genetic array high-content screening analysis (SGA-HCS) was performed to identify defects in spindle morphogenesis apparent in a double mutant background involving either bni1 or bim1.|Low Throughput: Selected double mutants identified using the SGA-HCS analysis were further inspected manually.
BNI1	YNL271C	DMA1	YHR115C	Genetic	Synthetic Lethality	manually curated	Bait		inviable Mutant Type: unspecified	BioGRID	Fraschini R, et al. (2004) PMID:15146058	dma1 dma2 bni1 combination is temperature sensitive at 37C
BNI1	YNL271C	DMA2	YNL116W	Genetic	Synthetic Lethality	manually curated	Bait		inviable Mutant Type: unspecified	BioGRID	Fraschini R, et al. (2004) PMID:15146058	dma1 dma2 bni1 combination is temperature sensitive at 37C
BNI1	YNL271C	DNM1	YLL001W	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	DPH2	YKL191W	Genetic	Negative Genetic	high-throughput	Bait			BioGRID	Costanzo M, et al. (2010) PMID:20093466	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.
BNI1	YNL271C	DPM1	YPR183W	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Davierwala AP, et al. (2005) PMID:16155567	SGA screen
BNI1	YNL271C	DRS1	YLL008W	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Davierwala AP, et al. (2005) PMID:16155567	SGA screen
BNI1	YNL271C	DRS2	YAL026C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
BNI1	YNL271C	DRS2	YAL026C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	
BNI1	YNL271C	DUG1	YFR044C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	DYN1	YKR054C	Genetic	Synthetic Lethality	high-throughput	Bait		inviable Mutant Type: unspecified	BioGRID	Tong AH, et al. (2001) PMID:11743205	
